id_kursus,judul,link,penyelenggara,kategori,instruktor,level,rating,biaya,deskripsi
20,Inspiration: Success & Award Winning Campaigns,https://myskill.id/course/inspiration-success-and-award-winning-campaigns,Myskill,Digital Marketing,Azka Zakiyyatuddin,Beginner ,4.59,Berbayar,"Campaign merupakan salah satu strategi marketing yang dapat kita temui di sekitar. Materi ini akan mengelaborasi berbagai campaign yang telah sukses dilakukan oleh beberapa perusahaan. Selain itu, di akhir sesi kita akan mampu mengetahui cara untuk merancang campaign UMKM maupun campaign korporat dengan sukses."
21,Marketing Analytics: Experiment & Evaluation,https://myskill.id/course/marketing-analytics-experiment-and-evaluation,Myskill,Digital Marketing,Azka Zakiyyatuddin,Beginner ,4.54,Berbayar,"Marketing Experiments adalah riset yang bertujuan untuk mencari tahu strategi marketing baru atau memvalidasi strategi yang sudah ada. Di materi ini, kita akan mempelajari pentingnya marketing experimenr dan cara melakukannya. Lebih lanjut, kita juga akan belajar mengenai komponen dan sample marketing experiments."
22,Creating Campaign Planning,https://myskill.id/course/creating-campaign-planning,Myskill,Digital Marketing,Azka Zakiyyatuddin,Beginner ,4.66,Berbayar,"Setelah memahami mengenai campaign, kali ini kita akan bersama-sama membuat rancangan campaign untuk brand tertentu. Kita akan belajar mulai dari menentukan target audiens hingga membuat KPI dan budgetnya."
23,Campaign Monitoring & Optimization,https://myskill.id/course/campaign-monitoring-and-optimization,Myskill,Digital Marketing,Azka Zakiyyatuddin,Beginner ,4.45,Berbayar,"Setelah mempelajari cara merancang suatu campaign, kita akan belajar bagaimana memonitor dan memaksimalkan campaign yang telah dilakukan dengan menggunakan A/B testing, analisa lebih lanjut, dan lain sebagainya. Selain itu, kita juga akan belajar cara membuat lerning and reommendations untuk campaign di masa yang akan datang."
24,Preparing Your Career as Campaign Planner,https://myskill.id/course/preparing-career-as-campaign-planner,Myskill,Digital Marketing,Azka Zakiyyatuddin,Beginner ,4.6,Berbayar,"Materi ini berisi tentang cara mempersiapkan diri untuk menjadi seorang campaign planner. Di akhir sesi, kita akan memahami skill-skill yang akan dibutuhkan disertai dengan tips dan trik membuat CV dan menaklukan interview."
25,Strategi Memulai Digital Marketing dari Awal,https://www.udemy.com/course/pengantar-digital-marketing/,Udemy,Digital Marketing,Sasana Digital,Beginner ,4.0,Gratis,Membangun Mindset Digital Marketing Sebagai PemulaMempelajari Platform yang digunakan dalam Digital MarketingMengetahui Cara Optimasi Digital MarketingMengetahui Cara Digital Marketing yang paling tepat untuk Bisnis atau Karir Anda
26,Digital Performance Marketing: Tips Memulai Beriklan Online,https://www.udemy.com/course/digital-performance-marketing-belajar-beriklan-online/,Udemy,Digital Marketing,Petrus Andre,Beginner ,4.8,Gratis,"Memahami fitur-fitur Meta Business Suite dan Google Ads dashboardMengetahui cara membuat iklan di Facebook, Google, dan InstagramTahu jenis-jenis iklan yang ada di Facebook dan Google AdsMengerti konsep conversion tracking di Facebook dan Google AdsDapat menganalisa dan mengoptimalkan iklan di Facebook dan Google"
27,Digital Marketing Essentials Masterclass,https://www.udemy.com/course/digital-marketing-101-complete-digital-marketing-course/,Udemy,Digital Marketing,IIDE - The Digital School,Beginner ,4.4,Gratis,"What is Digital Marketing and why it’s important for 2021Various components of Digital Marketing and their scopeFundamentals of SEM or Paid Advertising on GoogleFundamentals of Search Engine Optimization (SEO)Promoting websites by increasing their visibility in search engine results pages,What keywords are, why they play a major role in PPC advertising, and how to use them,Tools for keyword research and planning,SEO essentials along with tools to find what your target audience is looking for onlineBasics of Social Media Marketing through Facebook and Instagram AdsStep by step approach to running Facebook or Instagram AdsThe purpose and significance of RemarketingOther components of Digital Marketing like Email, SMS, Influencer and ORM Marketing"
28,Digital Marketing for Beginners 2023,https://www.udemy.com/course/digital-marketing-for-beginners-by-hafis/,Udemy,Digital Marketing,Mohamed Hafis,Beginner ,3.7,Gratis,What is Digital MarketingBasics of Digital MarketingSocial Media in Digital MarketingHow to Get a Digital Marketing JobEmail Marketing in Digital MarketingContent Marketing in Digital MarketingAnalytics and Tools in Digital MarketingInfluencer Marketing in Digital MarketingSearch Engine Optimization in Digital MarketingOnline Reputation and Management in Digital Marketing
29,Digital Marketing Course | Digital Marketing Tutorial,https://www.udemy.com/course/digital-marketingcourse/,Udemy,Digital Marketing,Dopinger SEO Agency,Beginner ,4.6,Gratis,How to start a digital marketing agencyHow to do digital marketingWhat is seo in digital marketingWhy digital marketingHow to digital marketingHow to learn digital marketingWhat is digital marketingWhat is digital marketing strategy
30,Media Sosial dan Mobile Marketing,https://www.udemy.com/course/media-sosial-dan-mobile-marketing/,Udemy,Digital Marketing,UMN Digital Learning,Beginner ,4.7,Gratis,Memahami berbagai tipe dan karakteristik social media dan mobile marketingMemahami tren komunikasi pemasaran brand/perusahaan melalui media sosial dan pemasaran mobileMemahami pelanggaran etika dan hukum di pemasaran media sosiaMampu melakukan perencanaan pemasaran media sosial
31,Concepts of Digital Marketing: Beginner to Pro in 2 hrs-2023,https://www.udemy.com/course/concepts-of-digital-marketing-beginner-to-pro-in-3-hrs/,Udemy,Digital Marketing,Programming Hub,Beginner ,3.8,Gratis,Understanding Digital Marketing BasicsDeveloping a Digital marketing strategyLearn to Implement and Measure Digital Marketing Tactics with PrecisionStaying up-to-date with Digital Marketing trends
32,Merancang dan Mengkreasikan Iklan Dengan Semiotika Visual,https://www.udemy.com/course/merancang-dan-mengkreasikan-iklan-dengan-semiotika-visual/,Udemy,Digital Marketing,UMN Digital Learning,Beginner ,4.8,Gratis,Creating Visual  SemioticIconSymbolIndexAnalogy & Metaphor
33,Digital Marketing for Plumbers | Plumbing Marketing 2023,https://www.udemy.com/course/plumbing-marketing/,Udemy,Digital Marketing,Ads Managed,Beginner ,4.6,Gratis,"Master Plumbing Marketing!Learn the Best Plumber Marketing Strategies!Master Plumbing Google Ads, SEO, and Facebook Ads!Learn the Best Plumbing Marketing Tips!"
34,Complete Introduction into Digital Marketing for Beginners,https://www.udemy.com/course/digital-marketing-2023/,Udemy,Digital Marketing,Ing. Tomas Moravek,Beginner ,4.6,Gratis,"Enjoy the Complete Introduction into Digital Marketing, Social Media, & SEO for Beginners. HQ Voice Over. Animated Explainers Making Learning Easy & Fun.Learn the Essentials about Product Marketing, Affiliate Marketing, Growth Hacking, YouTube Marketing, Facebook Marketing, Instagram Marketing & More.Learn the Process of Search Engine Optimisation. Start with Keywords Research. Continue with Content Creation. Accomplishing with Link Building Campaign.Understand Why you Do Not Need Any Coding Skills to Create and Optimise your Website. Learn the Fundamentals about Google Analytics & Google Tag Manager."
35,Marketing for Entrepreneurs in 2022: Learn Digital Marketing,https://www.udemy.com/course/entrepreneur-marketing/,Udemy,Digital Marketing,Taylor Ryan,Beginner ,4.1,Gratis,Digital MarketingGrowth-HackingEntrepreneurial MarketingEverything an Entrepreneur Needs to Know About MarketingContentPRPublic RelationsSEOSearch Engine OptimizationSEMSearch Engine MonitoringSoMeSocial MediaEmail MarketingWebsite DesignCROContract Research OrganizationUXUser ExperienceAutomationOnboardingHRHuman ResourcesVisual IdentityBrandingLogoTrackingUser AquesitionGrowth HackingKPIAB TestingCRMIntegrationAmplificationSignupsConversionDomainHostingColor TheoryScalingTone-of-voice
36,Pengantar Analisis Merek Digital untuk Pemula,https://www.udemy.com/course/digital-brand-analysis/,Udemy,Digital Marketing,Bina Nusantara University,Beginner ,4.4,Gratis,Student akan belajar hal-hal mendasar yang perlu diketahui tentang analisis merek digitalMengidentifikasikan proses dasar untuk menganalisa merek pada media digitalMenjelaskan komponen-komponen pada analisis merek pada media onlineMembuat rencana analisis merek pada media digital
37,Digital Marketing FAQs - Common Digital Marketing Questions,https://www.udemy.com/course/digital-marketing-faqs-common-digital-marketing-questions/,Udemy,Digital Marketing,Ben Silverstein,Beginner ,4.5,Gratis,Do people spend more time on digital or traditional media?What is programmatic advertising?What is the difference between an Ad Network/DSP/SSP?Which brands spend the most on digital advertising and how do they allocate their budget?Why do I keep seeing ads for a specific company/brand?Is advertising for businesses in magazines dead?Are advertising firms salivating over the possibility of inserting ads into augmented reality?What is the “open exchange?”How can I optimize campaigns?
38,The A-Z Digital Marketing Course - Everything Under 30min!,https://www.udemy.com/course/digital-marketing-course-by-digital-label/,Udemy,Digital Marketing,Bogdan Butulija,Beginner ,4.1,Gratis,"Introduction to Digital Marketing - Definition and scope of digital marketing, Importance of digital marketing for businessesWhat is SEO and why it is important - Keyword research and on-page optimization, Off-page optimization and link buildingPay-Per-Click Advertising (PPC) - Introduction to PPC and different platforms (e.g. Google Ads), Setting up a PPC campaign, Keyword research and ad copywritingSocial Media Marketing - Introduction to social media marketing and different platforms, Setting up and optimizing business profiles on social mediaContent Marketing - Definition and importance of content marketing, Types of content and their role in the marketing funnelEmail Marketing - Introduction to email marketing and best practices, Building and segmenting an email list, Crafting effective email campaignsMobile Marketing - Introduction to mobile marketing and its importance, Mobile-friendly websites and apps, SMS and push notificationsOnline Reputation Management - Importance of managing online reputation, Monitoring and responding to online reviews and ratingsAdvanced Digital Marketing Strategies - Influencer marketing, Affiliate marketing, Retargeting and personalizationVideo Marketing - Best form of videos for marketing, Which type of content to useTop Social Media Platforms for Advertisements - Types of ads available (sponsored posts, sponsored events, targeted ads)"
39,Digital Marketing Course for Beginners,https://www.udemy.com/course/fundamentals-of-digital-marketing-online-course/,Udemy,Digital Marketing,Board Infinity,Beginner ,4.4,Gratis,"Understand marketing basics - 4Ps(Product, Price, Place, Promotion), STP - and their application in the digital marketing realm.Compare and contrast traditional marketing with digital marketing, understanding the advantages of the latter and its impact on the marketing mix.Comprehend various types of digital marketing media, their uses, and how to effectively build a digital marketing funnel to convert prospects into customers.Gain proficiency in key online advertising channels including social media marketing, SEO/SEM, and email, content, and mobile marketing tactics."
40,"AI & ChatGPT Prompt for  Digital Marketing, Sales & Growth",https://www.udemy.com/course/ai-chatgpt-prompt-for-digital-marketing/,Udemy,Digital Marketing,Anieno Adeyemi,Beginner ,4.3,Gratis,"ChatGPT Guide: From Concept to Campaign - Mastering Marketing with ChatGPTChatGPT: Crafting a Comprehensive Content CalendarRefine Your Ideal Audience and Buyer Persona with Marketing  Strategy.Curate Engaging Social Media Content Using ChatGPTGenerate Ads Copy  Seamlessly with ChatGPTGenerate Campaign Idea  for your Clients BriefDesign an Effective Email Campaign Sequence via ChatGPTMarketing Magic: Leverage ChatGPT to Curate Custom Content, Tap into Trending Niches, and Design Captivating Ads, Newsletters and Blogs!Prompt Mastery: Elevate your marketing with ChatGPT—Refine AI-driven content, Engage Broader Audiences, and Amplify Your Brand's Presence!Generate  Comprehensive  Marketing ResearchUnderstand Artificial Intelligence and how it worksMachine Learning and it different types  Simplified"
41,Introduction to Digital Marketing,https://www.udemy.com/course/introduction-to-digital-marketing-p/,Udemy,Digital Marketing,Faisal Ahmed Siddiqui,Beginner ,4.0,Gratis,What is Digital Funnel & its relation with digital components?Business Strategy - Internal & External AuditHow to calculate traffic cost with profit objectiveHow to integrate sales funnel with digital components?
42,Digital Marketing Strategy for Managers,https://www.udemy.com/course/digital-marketing-strategy-for-managers/,Udemy,Digital Marketing,Navine Christian,Beginner ,4.1,Gratis,"Search engine optimisation (SEO)Relationship between social media, e-commerce and websitesFree aspect of digital marketing"
43,Digital Marketing Masterclass in 2 Hours,https://www.udemy.com/course/2-hour-digital-marketing-masterclass/,Udemy,Digital Marketing,Kevin Wilhelm,Beginner ,4.4,Gratis,Digital MarketingMarketing StrategyDetermining Marketing ObjectivesBuilding a Marketing PlanDetermining Marketing BudgetsSearch Engine OptimizationPPC ManagementContent MarketingDigital Display AdvertisingVideo MarketingEmail MarketingOnline Reputation Management
44,Dasar-Dasar Pemasaran Digital,https://www.linkedin.com/learning/dasar-dasar-pemasaran-digital,LinkedIn,Digital Marketing,Brad Batesole,Beginner ,4.8,Berbayar,"Alat dan teknik pemasaran digital tengah berkembang secara konstan. Dalam kursus ini, instruktur Brad Batesole membantu Anda mengikuti perkembangan terbaru dari bidang yang cepat berubah ini, membahas segala hal yang perlu diketahui untuk membantu bisnis Anda menghadapi berbagai hambatan, menjalin interaksi dengan calon pelanggan, dan beradaptasi dari waktu ke waktu. Brad memulai kursus dengan membahas komponen penyusun pemasaran online, termasuk cara penggunaanya, perkembangan yang telah dilalui, dan perkembangannya pada masa mendatang. Ia lalu membahas cara menentukan proposisi nilai, mengidentifikasi pasar target, serta menetapkan sasaran dan KPI. Setelah itu, ia membahas cara pelanggan mengevaluasi keseluruhan kehadiran online dari sebuah merek, juga cara memutuskan saluran pemasaran, mengoptimalkan situs web, dan memanfaatkan SEO, iklan berbayar, dan media sosial untuk membantu audiens target menemukan Anda. Anda juga dapat mempelajari cara mengembangkan rencana pemasaran email, memulai pemasaran video, dan membuat laporan pemasaran yang mudah dipahami dan membantu menilai kemajuan Anda."
45,Dasar-Dasar Pemasaran Media Sosial,https://www.linkedin.com/learning/dasar-dasar-pemasaran-media-sosial,LinkedIn,Digital Marketing,Brian Honigman,Beginner ,4.8,Berbayar,"Media sosial benar-benar mendisrupsi dunia pemasaran dengan memungkinkan bisnis untuk berinteraksi langsung dengan pelanggan dan sebaliknya. Merek-merek yang bertahan lama menggunakan platform ini untuk menjalin hubungan baru dan membangun loyalitas jangka panjang. Dalam kursus ini, Anda dapat mempelajari dasar-dasar pemasaran media sosial. Instruktur Brian Honigman, seorang konsultan pakar pemasaran, menjelaskan alasan berinvestasi di media sosial dapat mendatangkan manfaat bagi bisnis Anda. Ia menunjukkan cara mendefinisikan audiens dan menyusun strategi media sosial yang berfokus pada tujuan organisasi Anda. Ia juga akan mengajarkan cara berkomunikasi secara efektif di jejaring sosial terkemuka, seperti Facebook, Instagram, dan Snapchat"
46,Pemasaran Media Sosial: Strategi dan Pengoptimalan,https://www.linkedin.com/learning/pemasaran-media-sosial-strategi-dan-pengoptimalan,LinkedIn,Digital Marketing,Martin Waxman,Beginner ,4.9,Berbayar,"Pelajari metode tiga langkah untuk mengoptimalkan bauran pemasaran media sosial Anda. Dapatkan perspektif baru tentang konten, platform pilihan, dan strategi Anda. Bergabunglah dengan ahli strategi komunikasi digital, Martin Waxman, dalam kursus singkat yang mencerahkan ini. Kursus ini mungkin bahkan bisa mengubah kebiasaan penggunaan media sosial pemasar paling berpengalaman sekalipun. Pelajari cara menganalisis strategi yang berhasil (dan tidak) menggunakan analisis SWOT, lalu sesuaikan rencana untuk memanfaatkan kekuatan Anda. Setelah itu, Martin meninjau perkembangan terbaru di Facebook, Instagram, Twitter, LinkedIn, YouTube, Pinterest, Snapchat, dan TikTok, untuk membantu Anda memahami cara memosisikan merek dengan benar di setiap platform. Selain itu, Anda juga akan mempelajari cara mewujudkan strategi menjadi tindakan serta membuat konten dan cerita yang berbayar dan organik, yang mampu membangun hubungan."
47,Dasar-Dasar Keuangan,https://www.linkedin.com/learning/dasar-dasar-keuangan,LinkedIn,Digital Marketing,Earl Stice,Beginner ,5,Berbayar,"Keuangan ada di dunia nyata. Dampaknya dirasakan oleh semua orang: individu, keluarga, perusahaan, dan pemerintah. Meskipun mungkin terdengar rumit, inti dari keuangan adalah tentang memutuskan apa yang akan dibeli, mendapatkan uang yang dibutuhkan untuk membelinya, dan mengelola sumber daya yang sudah dimiliki secara efisien. Dalam kursus ini, profesor bisnis Universitas Brigham, Young Jim dan Kay Stice, memberikan gambaran umum yang komprehensif tentang keuangan, mulai dari penjelasan tentang cara membaca neraca hingga memahami derivatif dan sekuritas. Mereka juga menjawab pertanyaan-pertanyaan, seperti Apa perbedaan antara manajemen keuangan jangka pendek dan pembiayaan jangka panjang? dan Apa perbedaan antara bank tradisional, bank investasi, dan dana investasi? Selama mengikuti kursus, Anda juga bisa melihat isi laporan keuangan dari perusahaan, seperti Walmart dan Toys R Us, IPO Microsoft dan Facebook, bahkan data yang masuk ke dalam keputusan keuangan pribadi, seperti keputusan untuk membeli mobil."
48,Pemasaran: Naskah Iklan untuk Media Sosial,https://www.linkedin.com/learning/pemasaran-naskah-iklan-untuk-media-sosial,LinkedIn,Digital Marketing,Michaela Alexis,Beginner ,5,Berbayar,"Kata-kata yang tepat dapat menggerakkan audiens Anda untuk bertindak. Tetapi menemukan kata-kata itu dengan andal — dan menyesuaikannya untuk di-posting di berbagai platform media sosial — bukanlah hal yang mudah. Instruktur dan guru membangun citra diri, Michaela Alexis, memahami perjuangan ini. Dan dalam kursus ini, dia menguraikan alat dan strategi naskah iklan yang dapat membantu Anda menemukan suara merek Anda dan membuka kesuksesan media sosial. Michaela membagikan formula naskah iklan tepercaya dan menunjukkan bagaimana persona pembeli dapat membantu Anda membuat konten tertulis yang lebih relevan. Dia menjelaskan cara menyesuaikan naskah iklan Anda secara khusus untuk berbagai platform sosial—seperti LinkedIn, Twitter, dan platform dari Meta: Facebook dan Instagram. Selain itu, Michaela memperkenalkan alat yang dapat membantu Anda menjaga agar konten tetap dapat dibaca dan bebas dari kesalahan, sambil menawarkan kiat untuk terus meningkatkan postingan Anda menggunakan umpan balik dan pengujian A/B."
49,The Strategy of Content Marketing,https://www.coursera.org/learn/content-marketing,Coursera,Digital Marketing,Sonia Simone,Beginner ,4.5,Gratis,"Kursus ini adalah kemitraan antara otoritas pemasaran konten terkemuka, Copyblogger, dan Pendidikan Berkelanjutan dan Profesional UC Davis. Dalam kursus ini, Anda akan mempelajari strategi inti yang digunakan oleh pemasar konten untuk memperoleh dan mempertahankan pelanggan secara menguntungkan. Secara khusus, Anda akan belajar cara mengembangkan, mengatur, dan menerapkan strategi pemasaran konten, menganalisis dan mengukur efektivitas pemasaran konten, menulis salinan yang menarik, menggunakan kerangka kerja strategis saat menulis, dan membangun merek dan otoritas profesional Anda melalui pemasaran konten. Anda juga akan belajar bagaimana menerapkan ide-ide yang disajikan kepada Anda ke dalam tindakan dan membangun merek pribadi Anda sendiri melalui pemasaran konten."
50,Launch Your Online Business,https://www.coursera.org/learn/launch-online-business,Coursera,Digital Marketing,Joan Decollibus,Beginner ,4.8,Gratis,"Peserta yang menyelesaikan kursus ini akan: - mendapatkan pemahaman tentang model bisnis yang berbeda - mempelajari strategi untuk menamai bisnis mereka - membuat persona pelanggan - membuat identitas merek mereka - membuat Proposisi Nilai Unik mereka dan belajar bagaimana membuat bisnis mereka menonjol dari pesaing mereka - mengetahui setiap langkah yang diperlukan untuk membangun situs web mereka termasuk praktik terbaik - produksi yang boleh dan tidak boleh dilakukan untuk penulisan naskah, fotografi, dan video - memiliki daftar periksa pra-peluncuran dan pemeliharaan situs web - mendapatkan pengetahuan dasar tentang pemasaran dan pr - membuat Pitch Deck tentang bisnis mereka yang dapat mereka sampaikan kepada calon mitra dan investor"
51,"Digital Marketing Strategy with Goldman Sachs 10,000 Women",https://www.coursera.org/learn/10kw-digital-marketing,Coursera,Digital Marketing,Dionysius Ang,Beginner ,4.7,Gratis,"Kursus pilihan ini merupakan pengenalan terhadap pemasaran digital, dengan fokus khusus pada kampanye media sosial. Kursus ini melengkapi koleksi kursus Goldman Sachs 10,000 Women, yang dirancang untuk pengusaha yang siap untuk membawa bisnis mereka ke tingkat berikutnya. Dalam kursus ini, Anda akan mempelajari kiat-kiat terbaik untuk kampanye pemasaran digital yang efektif dan bagaimana merencanakan dan mengevaluasi kampanye media sosial untuk memaksimalkan peluang bisnis. Anda akan mengembangkan pemahaman praktis tentang proses perencanaan kampanye media sosial, dan bagaimana menggunakan media berbayar, yang diperoleh, dan yang dimiliki secara efektif dalam pemasaran digital Anda. Anda juga akan mempertimbangkan peran influencer dalam pemasaran Anda, mengeksplorasi pemasaran viral, pencarian berbayar, penempatan situs web, dan alat serta teknik pemasaran digital lainnya yang membantu menciptakan kampanye pemasaran digital yang sukses. "
